"tconst","titleType","primaryTitle","startYear","runtimeMinutes","genres","averageRating","numVotes"
"tt0107315","movie","Kika","1993","114","Comedy",6.5,15122
"tt0107321","movie","King Uncle","1993","171","Comedy,Drama,Family",5.2,3138
"tt0107322","movie","King of the Hill","1993","103","Drama,History",7.3,8853
"tt0107330","movie","Little Sharks","1992","87","Comedy,Romance",7.5,1479
"tt0107331","movie","The Little Blonde Dead","1993","95","Drama",6.7,1114
"tt0107333","movie","Knights","1993","90","Action,Adventure,Sci-Fi",4.6,2177
"tt0107349","movie","The Slingshot","1993","102","Drama",6.5,2214
"tt0107358","movie","The Blue Kite","1993","140","Drama,History",7.5,3277
"tt0107362","movie","Last Action Hero","1993","130","Action,Adventure,Comedy",6.5,164715
"tt0107376","movie","Latcho Drom","1993","103","Documentary,Music",8.1,2152
"tt0107384","movie","Leningrad Cowboys Meet Moses","1994","94","Adventure,Comedy,Music",5.6,1754
"tt0107387","movie","Leprechaun","1992","92","Comedy,Fantasy,Horror",4.8,30707
"tt0107413","movie","Life with Mikey","1993","91","Comedy,Family",5.7,6596
"tt0107426","movie","Little Buddha","1993","123","Drama",6.1,18036
"tt0107438","movie","Look Who's Talking Now","1993","96","Comedy,Family,Romance",4.4,31067
"tt0107443","movie","Lost in Yonkers","1993","114","Comedy,Drama",6.8,3707
"tt0107447","movie","Love and Human Remains","1993","100","Comedy,Drama",6.6,2848
"tt0107468","movie","M. Butterfly","1993","101","Drama,Romance",6.7,11008
"tt0107471","movie","My Favorite Season","1993","127","Drama,Romance",6.9,2244
"tt0107472","movie","The Wonderful, Horrible Life of Leni Riefenstahl","1993","183","Biography,Documentary,History",8,3060
"tt0107473","movie","Mad Dog and Glory","1993","97","Comedy,Crime,Drama",6.2,22814
"tt0107474","movie","Madadayo","1993","134","Drama",7.3,6203
"tt0107478","movie","Made in America","1993","111","Comedy",5.1,17890
"tt0107479","movie","The Dead Mother","1993","111","Drama,Thriller",6.9,1224
"tt0107497","movie","Malice","1993","107","Crime,Mystery,Thriller",6.5,27723
"tt0107501","movie","The Man Without a Face","1993","115","Drama",6.7,31145
"tt0107504","movie","Man's Best Friend","1993","87","Comedy,Horror,Sci-Fi",5.2,4928
"tt0107507","movie","Manhattan Murder Mystery","1993","104","Comedy,Mystery",7.3,47029
"tt0107511","movie","Mannen på balkongen","1993","91","Crime,Drama,Mystery",6.2,1352
"tt0107523","movie","Married to It","1991","112","Comedy,Drama",5.9,1066
"tt0107529","movie","Matinee","1993","99","Comedy,Drama",6.9,12517
"tt0107554","movie","Menace II Society","1993","97","Crime,Drama,Thriller",7.5,64891
"tt0107561","movie","Metamorphosis: The Alien Factor","1990","98","Horror,Sci-Fi,Thriller",5,1130
"tt0107563","movie","The Meteor Man","1993","100","Action,Comedy,Fantasy",5.2,8870
"tt0107566","movie","My Crazy Life","1993","92","Crime,Drama",6.5,2439
"tt0107594","movie","Money for Nothing","1993","100","Comedy,Crime,Drama",5.7,4342
"tt0107606","movie","Mother's Boys","1993","96","Drama,Thriller",5.4,3629
"tt0107611","movie","Mr. Jones","1993","114","Drama,Romance",5.8,7679
"tt0107612","movie","Mr. Nanny","1993","84","Action,Comedy,Family",3.8,10247
"tt0107613","movie","Mr. Wonderful","1993","98","Comedy,Romance",5.9,3556
"tt0107614","movie","Mrs. Doubtfire","1993","125","Comedy,Drama",7.1,293004
"tt0107616","movie","Much Ado About Nothing","1993","111","Comedy,Drama,Romance",7.3,52288
"tt0107617","movie","The Scent of Green Papaya","1993","104","Drama,Music,Romance",7.3,10132
"tt0107623","movie","The Music of Chance","1993","98","Drama",7,2578
"tt0107625","movie","Mother's Day","1994","95","Comedy",7.9,2222
"tt0107626","movie","My Boyfriend's Back","1993","85","Comedy,Fantasy,Horror",5.4,5047
"tt0107630","movie","My Life","1993","117","Drama",6.8,12244
"tt0107642","movie","Café au lait","1993","94","Comedy,Romance",6.1,1175
"tt0107653","movie","Naked","1993","131","Comedy,Drama",7.7,44273
"tt0107659","movie","Loaded Weapon 1","1993","84","Action,Comedy,Crime",6.2,51382
"tt0107664","movie","Necronomicon: Book of Dead","1993","96","Horror",5.8,6998
"tt0107665","movie","Needful Things","1993","121","Crime,Drama,Fantasy",6.3,27675
"tt0107668","movie","Nemesis","1992","95","Action,Sci-Fi,Thriller",5.4,6835
"tt0107683","movie","Night Train to Venice","1993","98","Mystery,Thriller",2.3,1093
"tt0107685","movie","The Night We Never Met","1993","99","Comedy,Romance",6,3032
"tt0107688","movie","The Nightmare Before Christmas","1993","76","Animation,Family,Fantasy",7.9,376877
"tt0107692","movie","Ninja Scroll","1993","94","Action,Adventure,Animation",7.8,41008
"tt0107711","movie","Nowhere to Run","1993","94","Action,Drama,Romance",5.7,26311
"tt0107715","movie","Nukie","1987","99","Adventure,Family,Sci-Fi",1.7,1459
"tt0107719","movie","The Nutcracker","1993","92","Family,Fantasy,Music",5.8,2451
"tt0107745","movie","Once Upon a Forest","1993","71","Adventure,Animation,Drama",6.4,6080
"tt0107750","movie","Only the Strong","1993","99","Action,Drama",6.5,6951
"tt0107756","movie","Orlando","1992","94","Biography,Drama,Fantasy",7.1,18864
"tt0107767","movie","Padma Nadir Majhi","1993","126","Drama",8.2,1021
"tt0107777","movie","Parampara","1993","155","Action,Drama,Romance",5.1,1208
"tt0107798","movie","The Pelican Brief","1993","141","Crime,Drama,Mystery",6.6,96563
"tt0107808","movie","A Perfect World","1993","138","Crime,Drama,Thriller",7.5,87431
"tt0107818","movie","Philadelphia","1993","125","Drama",7.7,259306
"tt0107819","movie","Philadelphia Experiment II","1993","97","Action,Adventure,Sci-Fi",4.5,2238
"tt0107822","movie","The Piano","1993","121","Drama,Music,Romance",7.5,95640
"tt0107840","movie","Poetic Justice","1993","109","Drama,Romance",6.1,16746
"tt0107843","movie","Point of No Return","1993","109","Action,Crime,Drama",6.1,30308
"tt0107846","movie","Murder at the Savoy","1993","91","Crime,Drama,Mystery",5.9,1264
"tt0107863","movie","Posse","1993","111","Western",5.5,4894
"tt0107870","movie","Prehysteria!","1993","84","Adventure,Comedy,Family",4.6,2190
